x,y,filename,block
136,-38,output_0.wav,15
-181,106,output_1.wav,6
63,-181,output_2.wav,13
-16,-111,output_3.wav,11
-26,-118,output_4.wav,11
-12,30,output_5.wav,4
150,180,output_6.wav,2
-199,168,output_7.wav,6
-120,-127,output_8.wav,10
-20,-43,output_9.wav,8
-198,-87,output_10.wav,9
-118,164,output_11.wav,6
144,120,output_12.wav,2
66,94,output_13.wav,0
127,-128,output_14.wav,14
199,-7,output_15.wav,15
-85,8,output_16.wav,4
176,-108,output_17.wav,14
-181,-99,output_18.wav,9
-4,-102,output_19.wav,11
-98,-157,output_20.wav,11
90,177,output_21.wav,3
1,-3,output_22.wav,12
-112,-72,output_23.wav,9
91,-11,output_24.wav,12
14,-188,output_25.wav,13
-155,84,output_26.wav,7
-111,113,output_27.wav,6
119,145,output_28.wav,2
137,63,output_29.wav,1
16,58,output_30.wav,0
132,54,output_31.wav,1
114,70,output_32.wav,1
-199,24,output_33.wav,7
37,118,output_34.wav,3
-137,114,output_35.wav,6
88,-56,output_36.wav,12
-80,-139,output_37.wav,11
-183,-47,output_38.wav,9
151,81,output_39.wav,1
-60,-164,output_40.wav,11
-14,-174,output_41.wav,11
-24,115,output_42.wav,5
101,183,output_43.wav,2
-51,-159,output_44.wav,11
-149,44,output_45.wav,7
-193,-98,output_46.wav,9
145,109,output_47.wav,2
114,168,output_48.wav,2
-168,79,output_49.wav,7
-82,-58,output_50.wav,8
94,-191,output_51.wav,13
166,-73,output_52.wav,15
-111,80,output_53.wav,7
-190,-192,output_54.wav,10
10,-14,output_55.wav,12
-64,168,output_56.wav,5
-146,-196,output_57.wav,10
-170,96,output_58.wav,7
-170,-159,output_59.wav,10
163,-58,output_60.wav,15
114,62,output_61.wav,1
125,-177,output_62.wav,14
175,-200,output_63.wav,14
119,175,output_64.wav,2
-165,10,output_65.wav,7
-185,-188,output_66.wav,10
-85,133,output_67.wav,5
-154,34,output_68.wav,7
-25,-34,output_69.wav,8
-76,-49,output_70.wav,8
-112,-44,output_71.wav,9
56,162,output_72.wav,3
-174,75,output_73.wav,7
51,-102,output_74.wav,13
110,-62,output_75.wav,15
24,176,output_76.wav,3
-112,65,output_77.wav,7
72,64,output_78.wav,0
151,149,output_79.wav,2
185,-14,output_80.wav,15
-193,153,output_81.wav,6
-168,-50,output_82.wav,9
-135,-149,output_83.wav,10
-178,29,output_84.wav,7
178,11,output_85.wav,1
-8,1,output_86.wav,4
-81,-90,output_87.wav,8
-198,93,output_88.wav,7
12,-61,output_89.wav,12
135,-90,output_90.wav,15
-87,-37,output_91.wav,8
130,-59,output_92.wav,15
-84,17,output_93.wav,4
-75,-199,output_94.wav,11
-32,-28,output_95.wav,8
189,162,output_96.wav,2
157,-23,output_97.wav,15
7,17,output_98.wav,0
-131,174,output_99.wav,6
-62,163,output_100.wav,5
159,-107,output_101.wav,14
-36,-190,output_102.wav,11
-41,128,output_103.wav,5
170,134,output_104.wav,2
161,187,output_105.wav,2
-59,-45,output_106.wav,8
96,175,output_107.wav,3
56,131,output_108.wav,3
32,49,output_109.wav,0
-86,73,output_110.wav,4
-98,175,output_111.wav,5
-120,180,output_112.wav,6
136,17,output_113.wav,1
56,172,output_114.wav,3
-200,-50,output_115.wav,9
-165,-87,output_116.wav,9
127,-108,output_117.wav,14
163,-53,output_118.wav,15
166,-114,output_119.wav,14
36,64,output_120.wav,0
-123,8,output_121.wav,7
149,12,output_122.wav,1
-22,-17,output_123.wav,8
-92,-194,output_124.wav,11
-99,91,output_125.wav,4
-58,-153,output_126.wav,11
58,196,output_127.wav,3
-185,13,output_128.wav,7
149,123,output_129.wav,2
-77,81,output_130.wav,4
89,174,output_131.wav,3
-160,-112,output_132.wav,10
67,-76,output_133.wav,12
95,-97,output_134.wav,12
86,-150,output_135.wav,13
20,152,output_136.wav,3
127,-138,output_137.wav,14
-177,14,output_138.wav,7
-85,-93,output_139.wav,8
-46,62,output_140.wav,4
65,-146,output_141.wav,13
130,30,output_142.wav,1
170,-190,output_143.wav,14
68,118,output_144.wav,3
-119,-105,output_145.wav,10
-24,-176,output_146.wav,11
-53,-162,output_147.wav,11
-153,-23,output_148.wav,9
-83,146,output_149.wav,5
-98,-34,output_150.wav,8
-89,95,output_151.wav,4
38,-150,output_152.wav,13
7,-65,output_153.wav,12
60,-77,output_154.wav,12
29,8,output_155.wav,0
17,54,output_156.wav,0
-172,-52,output_157.wav,9
-18,38,output_158.wav,4
-48,65,output_159.wav,4
199,-35,output_160.wav,15
-149,103,output_161.wav,6
132,41,output_162.wav,1
164,107,output_163.wav,2
181,88,output_164.wav,1
-180,97,output_165.wav,7
-117,24,output_166.wav,7
-144,-66,output_167.wav,9
6,-86,output_168.wav,12
157,-35,output_169.wav,15
-189,182,output_170.wav,6
-180,-47,output_171.wav,9
123,118,output_172.wav,2
-180,-102,output_173.wav,10
37,20,output_174.wav,0
12,161,output_175.wav,3
-21,-141,output_176.wav,11
-160,29,output_177.wav,7
-82,-169,output_178.wav,11
-6,159,output_179.wav,5
68,-13,output_180.wav,12
-57,-90,output_181.wav,8
-175,156,output_182.wav,6
-109,-14,output_183.wav,9
-38,-198,output_184.wav,11
-75,15,output_185.wav,4
-85,-90,output_186.wav,8
-95,-164,output_187.wav,11
121,-121,output_188.wav,14
71,-44,output_189.wav,12
-69,1,output_190.wav,4
78,-10,output_191.wav,12
-86,47,output_192.wav,4
102,-65,output_193.wav,15
14,102,output_194.wav,3
25,95,output_195.wav,0
