x,y,filename
118,-67,output_0.wav
6,-185,output_1.wav
-181,198,output_2.wav
135,-35,output_3.wav
101,-170,output_4.wav
29,-12,output_5.wav
-73,40,output_6.wav
-12,-189,output_7.wav
48,18,output_8.wav
176,7,output_9.wav
-42,-46,output_10.wav
69,-51,output_11.wav
-164,-190,output_12.wav
-78,-163,output_13.wav
-163,95,output_14.wav
199,-19,output_15.wav
-162,-38,output_16.wav
163,-180,output_17.wav
-95,-107,output_18.wav
24,-59,output_19.wav
117,159,output_20.wav
-135,30,output_21.wav
-199,-162,output_22.wav
48,66,output_23.wav
-94,167,output_24.wav
128,-1,output_25.wav
108,170,output_26.wav
-28,130,output_27.wav
174,71,output_28.wav
-196,-84,output_29.wav
-16,-120,output_30.wav
-41,-40,output_31.wav
41,99,output_32.wav
-76,-170,output_33.wav
84,-106,output_34.wav
86,-9,output_35.wav
131,158,output_36.wav
100,43,output_37.wav
180,-102,output_38.wav
-140,-155,output_39.wav
-41,55,output_40.wav
-57,54,output_41.wav
66,-72,output_42.wav
-121,-74,output_43.wav
68,6,output_44.wav
51,108,output_45.wav
169,-42,output_46.wav
19,-30,output_47.wav
77,26,output_48.wav
119,147,output_49.wav
51,14,output_50.wav
-158,-68,output_51.wav
-47,-195,output_52.wav
84,94,output_53.wav
24,34,output_54.wav
-133,195,output_55.wav
11,148,output_56.wav
-107,35,output_57.wav
-183,116,output_58.wav
-2,-63,output_59.wav
113,-4,output_60.wav
-196,-131,output_61.wav
-69,-127,output_62.wav
-185,-9,output_63.wav
-48,-196,output_64.wav
178,182,output_65.wav
-86,-99,output_66.wav
182,133,output_67.wav
25,66,output_68.wav
-127,-199,output_69.wav
16,181,output_70.wav
-188,-191,output_71.wav
-14,-157,output_72.wav
42,192,output_73.wav
48,54,output_74.wav
-96,42,output_75.wav
18,-126,output_76.wav
10,118,output_77.wav
-49,145,output_78.wav
6,-67,output_79.wav
171,-34,output_80.wav
-131,-106,output_81.wav
166,127,output_82.wav
90,-62,output_83.wav
-160,128,output_84.wav
46,100,output_85.wav
150,-45,output_86.wav
-170,-81,output_87.wav
9,-142,output_88.wav
84,24,output_89.wav
-16,184,output_90.wav
-176,-71,output_91.wav
2,-144,output_92.wav
-128,-185,output_93.wav
-8,55,output_94.wav
-184,67,output_95.wav
115,57,output_96.wav
138,-179,output_97.wav
-173,-87,output_98.wav
171,83,output_99.wav
31,193,output_100.wav
108,154,output_101.wav
-50,87,output_102.wav
86,-128,output_103.wav
141,64,output_104.wav
-29,61,output_105.wav
197,-186,output_106.wav
-182,-13,output_107.wav
-85,-126,output_108.wav
-113,-100,output_109.wav
3,145,output_110.wav
-32,196,output_111.wav
84,-89,output_112.wav
187,-31,output_113.wav
-52,-41,output_114.wav
144,-179,output_115.wav
-65,-149,output_116.wav
-54,-136,output_117.wav
-140,39,output_118.wav
-108,-107,output_119.wav
-131,-43,output_120.wav
119,10,output_121.wav
-170,-44,output_122.wav
160,176,output_123.wav
92,24,output_124.wav
117,132,output_125.wav
18,-93,output_126.wav
-67,-123,output_127.wav
-187,26,output_128.wav
-183,-179,output_129.wav
-95,-121,output_130.wav
10,-126,output_131.wav
173,-103,output_132.wav
184,-136,output_133.wav
140,185,output_134.wav
75,196,output_135.wav
-30,84,output_136.wav
-135,18,output_137.wav
192,18,output_138.wav
157,-17,output_139.wav
1,177,output_140.wav
180,121,output_141.wav
26,15,output_142.wav
-138,-185,output_143.wav
-138,-195,output_144.wav
114,42,output_145.wav
31,186,output_146.wav
78,-143,output_147.wav
-131,-50,output_148.wav
151,-199,output_149.wav
119,-136,output_150.wav
168,-60,output_151.wav
-72,-102,output_152.wav
29,-30,output_153.wav
41,-152,output_154.wav
-74,-123,output_155.wav
-140,-6,output_156.wav
-153,162,output_157.wav
171,-147,output_158.wav
130,-72,output_159.wav
140,130,output_160.wav
5,-162,output_161.wav
-1,-74,output_162.wav
10,-187,output_163.wav
-51,-194,output_164.wav
155,-78,output_165.wav
-92,31,output_166.wav
-142,93,output_167.wav
-155,41,output_168.wav
-1,-195,output_169.wav
36,-51,output_170.wav
20,-78,output_171.wav
-117,120,output_172.wav
-175,48,output_173.wav
20,145,output_174.wav
113,9,output_175.wav
-141,-188,output_176.wav
-142,157,output_177.wav
-83,78,output_178.wav
11,-17,output_179.wav
-138,-161,output_180.wav
-37,-40,output_181.wav
60,165,output_182.wav
171,135,output_183.wav
193,-124,output_184.wav
66,169,output_185.wav
191,143,output_186.wav
-16,-115,output_187.wav
-9,94,output_188.wav
-35,-45,output_189.wav
162,85,output_190.wav
-110,177,output_191.wav
-21,-88,output_192.wav
-119,136,output_193.wav
152,89,output_194.wav
174,40,output_195.wav
112,96,output_196.wav
-110,197,output_197.wav
179,89,output_198.wav
-38,26,output_199.wav
-15,94,output_200.wav
21,-87,output_201.wav
-8,-72,output_202.wav
-135,-81,output_203.wav
16,30,output_204.wav
116,144,output_205.wav
30,-82,output_206.wav
-108,-19,output_207.wav
-45,-179,output_208.wav
-178,143,output_209.wav
102,-3,output_210.wav
-181,-22,output_211.wav
-85,24,output_212.wav
-84,95,output_213.wav
-200,165,output_214.wav
-18,36,output_215.wav
-17,-172,output_216.wav
-184,-24,output_217.wav
-9,-176,output_218.wav
151,-106,output_219.wav
112,129,output_220.wav
-96,188,output_221.wav
-49,40,output_222.wav
175,-197,output_223.wav
154,65,output_224.wav
-132,-65,output_225.wav
107,193,output_226.wav
32,-96,output_227.wav
-119,26,output_228.wav
-188,139,output_229.wav
126,147,output_230.wav
159,87,output_231.wav
-100,114,output_232.wav
124,127,output_233.wav
41,-59,output_234.wav
-10,81,output_235.wav
-39,192,output_236.wav
23,54,output_237.wav
102,177,output_238.wav
-183,10,output_239.wav
-20,186,output_240.wav
-109,-171,output_241.wav
-57,37,output_242.wav
99,-128,output_243.wav
-175,-145,output_244.wav
-76,-155,output_245.wav
151,-123,output_246.wav
107,120,output_247.wav
-4,-185,output_248.wav
15,36,output_249.wav
22,18,output_250.wav
88,-34,output_251.wav
181,-121,output_252.wav
1,-183,output_253.wav
-114,132,output_254.wav
-123,-49,output_255.wav
19,28,output_256.wav
-4,100,output_257.wav
-134,188,output_258.wav
135,114,output_259.wav
49,-150,output_260.wav
-74,-129,output_261.wav
-11,86,output_262.wav
-183,143,output_263.wav
146,143,output_264.wav
51,91,output_265.wav
